14/01/2016 18:06:57 - Deleting Backup File: C:\BACKUPDB\PanaCIM_2015.12.23_13.00.00_LOG.bak
14/01/2016 18:06:57 - Deleted Backup File: C:\BACKUPDB\PanaCIM_2015.12.23_13.00.00_LOG.bak
14/01/2016 18:06:57 - Deleting Backup File: C:\BACKUPDB\PanaCIM_2015.12.23_13.10.00_LOG.bak
14/01/2016 18:06:57 - Deleted Backup File: C:\BACKUPDB\PanaCIM_2015.12.23_13.10.00_LOG.bak
14/01/2016 18:06:57 - Deleting Backup File: C:\BACKUPDB\PanaCIM_2015.12.23_13.20.00_LOG.bak
14/01/2016 18:06:57 - Deleted Backup File: C:\BACKUPDB\PanaCIM_2015.12.23_13.20.00_LOG.bak
14/01/2016 18:06:57 - Deleting Backup File: C:\BACKUPDB\PanaCIM_2015.12.23_13.30.00_LOG.bak
14/01/2016 18:06:57 - Deleted Backup File: C:\BACKUPDB\PanaCIM_2015.12.23_13.30.00_LOG.bak
14/01/2016 18:06:57 - Deleting Backup File: C:\BACKUPDB\PanaCIM_2015.12.23_13.40.00_LOG.bak
14/01/2016 18:06:57 - Deleted Backup File: C:\BACKUPDB\PanaCIM_2015.12.23_13.40.00_LOG.bak
14/01/2016 18:06:57 - Deleting Backup File: C:\BACKUPDB\PanaCIM_2015.12.23_13.50.00_LOG.bak
14/01/2016 18:06:57 - Deleted Backup File: C:\BACKUPDB\PanaCIM_2015.12.23_13.50.00_LOG.bak
14/01/2016 18:06:57 - Deleting Backup File: C:\BACKUPDB\PanaCIM_2015.12.23_14.00.00_LOG.bak
14/01/2016 18:06:57 - Deleted Backup File: C:\BACKUPDB\PanaCIM_2015.12.23_14.00.00_LOG.bak
14/01/2016 18:06:57 - Deleting Backup File: C:\BACKUPDB\PanaCIM_2015.12.23_14.10.00_LOG.bak
14/01/2016 18:06:57 - Deleted Backup File: C:\BACKUPDB\PanaCIM_2015.12.23_14.10.00_LOG.bak
14/01/2016 18:06:57 - Deleting Backup File: C:\BACKUPDB\PanaCIM_2015.12.23_14.20.00_LOG.bak
14/01/2016 18:06:57 - Deleted Backup File: C:\BACKUPDB\PanaCIM_2015.12.23_14.20.00_LOG.bak
14/01/2016 18:06:57 - Deleting Backup File: C:\BACKUPDB\PanaCIM_2015.12.23_14.30.00_LOG.bak
14/01/2016 18:06:57 - Deleted Backup File: C:\BACKUPDB\PanaCIM_2015.12.23_14.30.00_LOG.bak
14/01/2016 18:06:57 - Deleting Backup File: C:\BACKUPDB\PanaCIM_2015.12.23_14.40.00_LOG.bak
14/01/2016 18:06:57 - Deleted Backup File: C:\BACKUPDB\PanaCIM_2015.12.23_14.40.00_LOG.bak
14/01/2016 18:06:57 - Deleting Backup File: C:\BACKUPDB\PanaCIM_2015.12.23_14.50.00_LOG.bak
14/01/2016 18:06:57 - Deleted Backup File: C:\BACKUPDB\PanaCIM_2015.12.23_14.50.00_LOG.bak
14/01/2016 18:06:57 - Deleting Backup File: C:\BACKUPDB\PanaCIM_2015.12.23_15.00.00_LOG.bak
14/01/2016 18:06:57 - Deleted Backup File: C:\BACKUPDB\PanaCIM_2015.12.23_15.00.00_LOG.bak
14/01/2016 18:06:57 - Deleting Backup File: C:\BACKUPDB\PanaCIM_2015.12.23_15.10.00_LOG.bak
14/01/2016 18:06:57 - Deleted Backup File: C:\BACKUPDB\PanaCIM_2015.12.23_15.10.00_LOG.bak
14/01/2016 18:06:57 - Deleting Backup File: C:\BACKUPDB\PanaCIM_2015.12.23_15.20.00_LOG.bak
14/01/2016 18:06:57 - Deleted Backup File: C:\BACKUPDB\PanaCIM_2015.12.23_15.20.00_LOG.bak
14/01/2016 18:06:57 - Deleting Backup File: C:\BACKUPDB\PanaCIM_2015.12.23_15.30.00_LOG.bak
14/01/2016 18:06:57 - Deleted Backup File: C:\BACKUPDB\PanaCIM_2015.12.23_15.30.00_LOG.bak
14/01/2016 18:06:57 - Deleting Backup File: C:\BACKUPDB\PanaCIM_2015.12.23_15.40.00_LOG.bak
14/01/2016 18:06:57 - Deleted Backup File: C:\BACKUPDB\PanaCIM_2015.12.23_15.40.00_LOG.bak
14/01/2016 18:06:57 - Deleting Backup File: C:\BACKUPDB\PanaCIM_2015.12.23_15.50.00_LOG.bak
14/01/2016 18:06:57 - Deleted Backup File: C:\BACKUPDB\PanaCIM_2015.12.23_15.50.00_LOG.bak
14/01/2016 18:06:57 - Deleting Backup File: C:\BACKUPDB\PanaCIM_2015.12.23_16.00.00_LOG.bak
14/01/2016 18:06:57 - Deleted Backup File: C:\BACKUPDB\PanaCIM_2015.12.23_16.00.00_LOG.bak
14/01/2016 18:06:57 - Deleting Backup File: C:\BACKUPDB\PanaCIM_2015.12.23_16.10.00_LOG.bak
14/01/2016 18:06:57 - Deleted Backup File: C:\BACKUPDB\PanaCIM_2015.12.23_16.10.00_LOG.bak
14/01/2016 18:06:57 - Deleting Backup File: C:\BACKUPDB\PanaCIM_2015.12.23_16.20.00_LOG.bak
14/01/2016 18:06:57 - Deleted Backup File: C:\BACKUPDB\PanaCIM_2015.12.23_16.20.00_LOG.bak
14/01/2016 18:06:57 - Deleting Backup File: C:\BACKUPDB\PanaCIM_2015.12.23_17.30.13_LOG.bak
14/01/2016 18:06:57 - Deleted Backup File: C:\BACKUPDB\PanaCIM_2015.12.23_17.30.13_LOG.bak
14/01/2016 18:06:57 - Deleting Backup File: C:\BACKUPDB\PanaCIM_2015.12.23_17.40.00_LOG.bak
14/01/2016 18:06:57 - Deleted Backup File: C:\BACKUPDB\PanaCIM_2015.12.23_17.40.00_LOG.bak
14/01/2016 18:06:57 - Deleting Backup File: C:\BACKUPDB\PanaCIM_2015.12.23_17.50.00_LOG.bak
14/01/2016 18:06:57 - Deleted Backup File: C:\BACKUPDB\PanaCIM_2015.12.23_17.50.00_LOG.bak
14/01/2016 18:06:57 - Deleting Backup File: C:\BACKUPDB\PanaCIM_2015.12.23_18.00.00_LOG.bak
14/01/2016 18:06:57 - Deleted Backup File: C:\BACKUPDB\PanaCIM_2015.12.23_18.00.00_LOG.bak
14/01/2016 18:06:57 - Deleting Backup File: C:\BACKUPDB\PanaCIM_2015.12.23_18.10.00_LOG.bak
14/01/2016 18:06:57 - Deleted Backup File: C:\BACKUPDB\PanaCIM_2015.12.23_18.10.00_LOG.bak
14/01/2016 18:06:57 - Deleting Backup File: C:\BACKUPDB\PanaCIM_2015.12.23_18.20.00_LOG.bak
14/01/2016 18:06:57 - Deleted Backup File: C:\BACKUPDB\PanaCIM_2015.12.23_18.20.00_LOG.bak
14/01/2016 18:06:57 - Deleting Backup File: C:\BACKUPDB\PanaCIM_2015.12.23_18.30.00_LOG.bak
14/01/2016 18:06:57 - Deleted Backup File: C:\BACKUPDB\PanaCIM_2015.12.23_18.30.00_LOG.bak
14/01/2016 18:06:57 - Deleting Backup File: C:\BACKUPDB\PanaCIM_2015.12.23_18.40.00_LOG.bak
14/01/2016 18:06:57 - Deleted Backup File: C:\BACKUPDB\PanaCIM_2015.12.23_18.40.00_LOG.bak
14/01/2016 18:06:57 - Deleting Backup File: C:\BACKUPDB\PanaCIM_2015.12.23_18.50.00_LOG.bak
14/01/2016 18:06:57 - Deleted Backup File: C:\BACKUPDB\PanaCIM_2015.12.23_18.50.00_LOG.bak
14/01/2016 18:06:57 - Deleting Backup File: C:\BACKUPDB\PanaCIM_2015.12.23_19.00.00_LOG.bak
14/01/2016 18:06:57 - Deleted Backup File: C:\BACKUPDB\PanaCIM_2015.12.23_19.00.00_LOG.bak
14/01/2016 18:06:57 - Deleting Backup File: C:\BACKUPDB\PanaCIM_2015.12.23_19.10.00_LOG.bak
14/01/2016 18:06:57 - Deleted Backup File: C:\BACKUPDB\PanaCIM_2015.12.23_19.10.00_LOG.bak
14/01/2016 18:06:57 - Deleting Backup File: C:\BACKUPDB\PanaCIM_2015.12.23_19.20.00_LOG.bak
14/01/2016 18:06:57 - Deleted Backup File: C:\BACKUPDB\PanaCIM_2015.12.23_19.20.00_LOG.bak
14/01/2016 18:06:57 - Deleting Backup File: C:\BACKUPDB\PanaCIM_2015.12.23_19.30.00_LOG.bak
14/01/2016 18:06:57 - Deleted Backup File: C:\BACKUPDB\PanaCIM_2015.12.23_19.30.00_LOG.bak
14/01/2016 18:06:57 - Deleting Backup File: C:\BACKUPDB\PanaCIM_2015.12.23_19.40.00_LOG.bak
14/01/2016 18:06:57 - Deleted Backup File: C:\BACKUPDB\PanaCIM_2015.12.23_19.40.00_LOG.bak
14/01/2016 18:06:57 - Deleting Backup File: C:\BACKUPDB\PanaCIM_2015.12.23_19.50.00_LOG.bak
14/01/2016 18:06:57 - Deleted Backup File: C:\BACKUPDB\PanaCIM_2015.12.23_19.50.00_LOG.bak
14/01/2016 18:06:57 - Deleting Backup File: C:\BACKUPDB\PanaCIM_2015.12.23_20.00.00_LOG.bak
14/01/2016 18:06:57 - Deleted Backup File: C:\BACKUPDB\PanaCIM_2015.12.23_20.00.00_LOG.bak
14/01/2016 18:06:57 - Deleting Backup File: C:\BACKUPDB\PanaCIM_2015.12.23_20.10.00_LOG.bak
14/01/2016 18:06:57 - Deleted Backup File: C:\BACKUPDB\PanaCIM_2015.12.23_20.10.00_LOG.bak
14/01/2016 18:06:57 - Deleting Backup File: C:\BACKUPDB\PanaCIM_2015.12.24_09.16.37_FUL.bak
14/01/2016 18:06:57 - Deleted Backup File: C:\BACKUPDB\PanaCIM_2015.12.24_09.16.37_FUL.bak
14/01/2016 18:06:57 - Deleting Backup File: C:\BACKUPDB\PanaCIM_2015.12.24_09.20.00_LOG.bak
14/01/2016 18:06:57 - Deleted Backup File: C:\BACKUPDB\PanaCIM_2015.12.24_09.20.00_LOG.bak
14/01/2016 18:06:57 - Deleting Backup File: C:\BACKUPDB\PanaCIM_2015.12.24_10.13.24_LOG.bak
14/01/2016 18:06:57 - Deleted Backup File: C:\BACKUPDB\PanaCIM_2015.12.24_10.13.24_LOG.bak
14/01/2016 18:06:57 - Deleting Backup File: C:\BACKUPDB\PanaCIM_2015.12.24_10.20.01_LOG.bak
14/01/2016 18:06:57 - Deleted Backup File: C:\BACKUPDB\PanaCIM_2015.12.24_10.20.01_LOG.bak
14/01/2016 18:06:57 - Deleting Backup File: C:\BACKUPDB\PanaCIM_2015.12.24_10.30.17_LOG.bak
14/01/2016 18:06:57 - Deleted Backup File: C:\BACKUPDB\PanaCIM_2015.12.24_10.30.17_LOG.bak
14/01/2016 18:06:57 - Deleting Backup File: C:\BACKUPDB\PanaCIM_2015.12.24_10.40.03_LOG.bak
14/01/2016 18:06:57 - Deleted Backup File: C:\BACKUPDB\PanaCIM_2015.12.24_10.40.03_LOG.bak
14/01/2016 18:06:57 - Deleting Backup File: C:\BACKUPDB\PanaCIM_2015.12.24_10.50.02_LOG.bak
14/01/2016 18:06:57 - Deleted Backup File: C:\BACKUPDB\PanaCIM_2015.12.24_10.50.02_LOG.bak
14/01/2016 18:06:57 - Deleting Backup File: C:\BACKUPDB\PanaCIM_2015.12.24_11.00.08_LOG.bak
